1,Krystkowiak-Gajzler S.A.,128-718-22-09,2023-01-03,2018-08-22,Średnia,36,2020-12-16
2,Lindner-Grabas Sp.k.,033-519-57-12,2021-12-20,2018-08-15,Średnia,16,2021-09-11
3,Stowarzyszenie Guźniczak,810-695-15-40,2021-03-16,2022-12-03,Dobra,49,2021-01-24
4,Gorol s.c.,986-472-16-83,2020-09-03,2020-08-18,Dobra,27,2021-12-04
5,Grzejszczak Sp.k.,653-216-17-77,2020-01-19,2020-11-29,Zła,3,2022-05-06
6,Fundacja Kurz-Brudny Sp.k.,524-442-42-60,2020-07-08,2021-09-15,Średnia,26,2022-10-16
7,FPUH Pietrak-Jagieło Sp.k.,014-449-29-71,2024-09-03,2020-09-12,Dobra,50,2020-05-08
8,Stowarzyszenie Thiel,770-816-70-77,2021-08-07,2021-07-07,Zła,17,2022-11-25
9,Spółdzielnia Mrózek s.c.,493-164-34-38,2021-01-26,2020-01-22,Dobra,15,2022-10-19
10,Barej Sp. z o.o. Sp.k.,053-015-92-71,2023-05-05,2021-12-05,Zła,3,2020-10-01
11,Strama Sp. z o.o.,916-882-38-34,2020-12-31,2024-10-05,Średnia,2,2021-10-11
12,Misztela i syn s.c.,899-050-77-20,2021-02-14,2019-10-12,Dobra,3,2022-11-07
13,Kawulok-Karsznia Sp.k.,177-387-16-95,2020-07-29,2023-08-20,Zła,35,2022-03-15
14,Grupa Letkiewicz,987-563-68-96,2020-09-11,2015-10-26,Średnia,7,2022-01-12
15,Gabinety Sprycha Sp. z o.o.,712-948-48-44,2021-06-21,2016-01-02,Dobra,9,2022-03-19
16,PPUH Nyc-Polasik s.c.,626-711-00-51,2023-07-24,2014-11-07,Średnia,4,2021-03-12
17,Dobroń-Sygut Sp.k.,067-720-80-58,2019-12-21,2015-05-02,Bardzo dobra,7,2021-04-19
18,Spółdzielnia Gubernat s.c.,230-789-37-35,2021-07-25,2021-08-18,Zła,25,2022-09-19
19,Tecław-Bruś S.A.,040-339-63-28,2021-01-07,2015-02-17,Bardzo dobra,7,2021-07-20
20,Fundacja Kajak,728-214-11-30,2023-10-29,2023-03-02,Zła,21,2021-06-02
21,Duszczyk Sp. z o.o.,522-223-75-77,2022-05-10,2016-09-09,Bardzo dobra,47,2022-05-17
22,Matura-Macek Sp. z o.o.,617-770-94-20,2022-10-31,2019-05-02,Bardzo dobra,48,2022-04-28
23,Grupa Jamroży-Fitrzyk S.A.,023-718-20-97,2022-09-03,2016-04-15,Dobra,8,2020-08-13
24,Fundacja Szwiec,666-033-43-73,2023-02-25,2016-07-04,Średnia,47,2022-01-27
25,FPUH Koczara,670-136-96-68,2023-04-19,2024-08-13,Bardzo dobra,31,2021-04-06
26,Skutnik Sp. z o.o.,233-456-90-46,2021-11-21,2022-04-22,Średnia,50,2022-11-01
27,Stowarzyszenie Gruchot Sp. z o.o. Sp.k.,545-870-18-63,2020-10-24,2018-06-20,Zła,33,2022-10-09
28,Fundacja Uryga S.A.,763-170-19-08,2020-12-29,2017-04-23,Średnia,16,2022-08-09
